,key,doc_count,datatype,@timestamp,name,value,host_metric_detail,host_ip,host_name
0,vbogevokesp03,39041,uint,2024-11-15T17:25:53.000Z,Uptime (network),3270024.0,net,172.30.5.233,vbogevokesp03
1,vbogevokesp04,38933,uint,2024-11-15T17:25:57.000Z,Uptime (hardware),5921683.0,hw,172.30.5.234,vbogevokesp04
2,vbogevokesl01,36344,uint,2024-11-15T17:25:58.000Z,Interface veth22d938c9(): Duplex status,3.0,"['if', ' Duplex status']",172.30.5.202,vbogevokesl01
3,vbogmoswebp02,34410,float,2024-11-15T17:25:55.000Z,ICMP loss,0.0,False,172.30.5.101,vbogmoswebp02
4,vbogevokesp02,33033,uint,2024-11-15T17:25:46.000Z,Uptime (network),3270011.0,net,172.30.5.232,vbogevokesp02
5,vbogevokesl04,32420,uint,2024-11-15T17:25:58.000Z,Total swap space,0.0,swap,172.30.5.205,vbogevokesl04
6,vbogevokesp01,31068,float,2024-11-15T17:25:59.000Z,Interrupts per second,2874.9857549858757,cpu,172.30.5.231,vbogevokesp01
7,Zabbix server,30508,float,2024-11-15T17:25:58.000Z,Number of processed not supported values per second,1.3978349848802187,False,127.0.0.1,Zabbix server
8,vbogevokesl03,29570,float,2024-11-15T17:25:59.000Z,Load average (15m avg),0.61,cpu,172.30.5.204,vbogevokesl03
9,vbogevokesl02,28419,uint,2024-11-15T17:25:59.000Z,SNMP agent availability,1.0,False,172.30.5.203,vbogevokesl02
10,vbogdtlobsvp01,25473,float,2024-11-15T17:25:55.000Z,ICMP loss,0.0,False,172.30.5.131,vbogdtlobsvp01
11,vbogdtlobsvp07,24366,uint,2024-11-15T17:25:50.000Z,Uptime (network),3269970.0,net,172.30.5.137,vbogdtlobsvp07
12,vbogmosrasp01,24335,uint,2024-11-15T17:25:54.000Z,Interface vethab374ec2(): Duplex status,3.0,"['if', ' Duplex status']",172.30.5.34,vbogmosrasp01
13,vbogmosintp01,23430,uint,2024-11-15T17:25:45.000Z,Uptime (network),3278431.0,net,172.30.5.100,vbogmosintp01
14,vbogdtlobsvp02,23045,uint,2024-11-15T17:25:58.000Z,SNMP agent availability,1.0,False,172.30.5.132,vbogdtlobsvp02
15,vbogdtlobsvp06,23009,uint,2024-11-15T17:25:59.000Z,Interface ens33(): Duplex status,3.0,"['if', ' Duplex status']",172.30.5.136,vbogdtlobsvp06
16,vbogdtlobsvp03,22719,uint,2024-11-15T17:25:59.000Z,Available memory,16050905088.0,memory,172.30.5.133,vbogdtlobsvp03
17,vbogdtlobsvp05,22279,float,2024-11-15T17:25:59.000Z,Load average (5m avg),0.2,cpu,172.30.5.135,vbogdtlobsvp05
18,vbogdtlobsvp09,21937,uint,2024-11-15T17:25:47.000Z,SNMP agent availability,1.0,False,172.30.5.139,vbogdtlobsvp09
19,vbogevokemp02,21290,uint,2024-11-15T17:25:50.000Z,SNMP agent availability,1.0,False,172.30.5.240,vbogevokemp02
